Atomic Number,Element,Multiplicity,Term Symbol,ΔfH°(0),ΔfH°gas,StdErr,(from web elements) gas atom Hº298-Hº0,standard state Hº298-Hº0,"Sºgas,1 bar",StdErr2,Reference,,OpenKIM/MEAM_LAMMPS_CuiGaoCui_2012_LiSi__MO_557492625287_002
76,Os,5,5D4,,,,,,,,,,
77,Ir,4,4F9/2,,,,,,,,,,
78,Pt,3,3D3,,,,,,,,,,
79,Au,2,2S1/2,,,,,,,,,,
80,Hg,1,1S0,,,,,,,,,,
81,Tl,2,2P1/2,,,,,,,,,,
82,Pb,3,3P0,,,,,,,,,,
83,Bi,4,4S3/2,,,,,,,,,,
84,Po,3,3P2,,,,,,,,,,
85,At,2,2P3/2,,,,,,,,,,
86,Rn,1,1S0,,,,,,,,,,
87,Fr,2,2S1/2,,,,,,,,,,
88,Ra,1,1S0,,,,,,,,,,
89,Ac,2,2D3/2,,,,,,,,,,
90,Th,3,3F2,,,,,,,,,,
91,Pa,4,4K11/2,,,,,,,,,,
92,U,5,5L6,,,,,,,,,,
93,Np,6,6L11/2,,,,,,,,,,
94,Pu,7,7F0,,,,,,,,,,
95,Am,8,8S7/2,,,,,,,,,,
96,Cm,9,9D2,,,,,,,,,,
97,Bk,6,6H15/2,,,,,,,,,,
98,Cf,5,5I8,,,,,,,,,,
99,Es,4,4I15/2,,,,,,,,,,
100,Fm,3,3H6,,,,,,,,,,
101,Md,2,2F7/2,,,,,,,,,,
102,No,1,1S0,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
